127.0.0.1 - - [08/Jan/2020:11:45:48 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:49 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/html/images/2.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/html/images/1.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/html/images/3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 200 92105
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 200 257074
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:45:57 +0900] "GET /web_html_01/html/ex2/ex02_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/html/images/2.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/html/images/1.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/html/images/3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:46:22 +0900] "GET /web_html_01/html/ex2/ex02_standard_exteernal.html HTTP/1.1" 404 811
